역명,도로명주소
신정네거리,서울특별시 양천구 중앙로 지하261(신정동)
용두,서울특별시 동대문구 천호대로 지하129(용두동)
지축,경기도 고양시 덕양구 삼송로 300(지축동)
구파발,서울특별시 은평구 진관2로 지하15-25 (진관동)
연신내,서울특별시 은평구 통일로 지하849(갈현동)
불광,서울특별시 은평구 통일로 지하723-1(대조동)
녹번,서울특별시 은평구 통일로 지하602-1(녹번동)
홍제,서울특별시 서대문구 통일로 지하440-1(홍제동)
무악재,서울특별시 서대문구 통일로 지하361(홍제동)
독립문,서울특별시 서대문구 통일로 지하247(현저동)
경복궁,서울특별시 종로구 사직로 지하130(적선동)
안국,서울특별시 종로구 율곡로 지하62(안국동)
종로3가,서울특별시 종로구 돈화문로 지하30(묘동)
을지로3가,서울특별시 중구 을지로 지하129(을지로3가)
충무로,서울특별시 중구 퇴계로 지하214(필동2가)
동대입구,서울특별시 중구 동호로 지하256(장충동2가)
약수,서울특별시 중구 다산로 지하122(신당동)
금호,서울특별시 성동구 동호로 지하104(금호동4가)
옥수,서울특별시 성동구 동호로 21(옥수동)
압구정,서울특별시 강남구 압구정로 지하172(신사동)
신사,서울특별시 강남구 도산대로 지하102(신사동)
잠원,서울특별시 서초구 잠원로4길 지하46(잠원동)
고속터미널,서울특별시 서초구 신반포로 지하188(반포동)
교대,서울특별시 서초구 서초대로 지하294(서초동)
남부터미널,서울특별시 서초구 서초중앙로 지하31(서초동)
양재,서울특별시 서초구 남부순환로 지하2585(서초동)
매봉,서울특별시 강남구 남부순환로 지하2744(도곡동)
도곡,서울특별시 강남구 남부순환로 지하2814(도곡동)
대치,서울특별시 강남구 남부순환로 지하2952(대치동)
학여울,서울특별시 강남구 남부순환로 지하3104(대치동)
대청,서울특별시 강남구 일원로 지하2(일원동)
일원,서울특별시 강남구 일원로 지하121(일원동)
수서,서울특별시 강남구 광평로 지하270(수서동)
가락시장,서울특별시 송파구 송파대로 지하257(가락동)
경찰병원,서울특별시 송파구 중대로 지하149(가락동)
오금,서울특별시 송파구 오금로 지하321(오금동)
당고개,서울특별시 노원구 상계로 305(상계동)
상계,서울특별시 노원구 상계로 182(상계동)
노원,서울특별시 노원구 상계로 69-1(상계동)
창동,서울특별시 도봉구 마들로11길 77(창동)
쌍문,서울특별시 도봉구 도봉로 지하 486-1(창동)
수유,서울특별시 강북구 도봉로 지하338(수유동)
미아,서울특별시 강북구 도봉로 지하198(미아동)
미아사거리,서울특별시 강북구 도봉로 지하50(미아동)
길음,서울특별시 성북구 동소문로 지하248(길음동)
성신여대입구,서울특별시 성북구 동소문로 지하102(동선동4가)
한성대입구,서울특별시 성북구 삼선교로 지하1(삼선동1가)
혜화,서울특별시 종로구 대학로 지하120(명륜4가)
동대문,서울특별시 종로구 율곡로 지하308(종로6가)
동대문역사문화공원,서울특별시 중구 장충단로 지하230(광희동2가)
충무로,서울특별시 중구 퇴계로 지하214(필동2가)
명동,서울특별시 중구 퇴계로 지하126(충무로2가)
회현,서울특별시 중구 퇴계로 지하54(남창동)
서울,서울특별시 용산구 한강대로 지하392(동자동)
숙대입구,서울특별시 용산구 한강대로 지하306(갈월동)
삼각지,서울특별시 용산구 한강대로 지하180(한강로1가)
신용산,서울특별시 용산구 한강대로 지하112(한강로2가)
이촌,서울특별시 용산구 서빙고로 지하83(용산동5가)
동작,서울특별시 동작구 현충로 257(동작동)
총신대입구,서울특별시 동작구 동작대로 지하117(사당동)
사당,서울특별시 동작구  동작대로 지하3(사당동)
남태령,서울특별시 서초구 과천대로 지하816(방배동)
방화,서울특별시 강서구 금낭화로 지하132(방화동)
개화산,서울특별시 강서구 양천로 22(방화동)
김포공항,서울특별시 강서구 하늘길 지하77(방화동)
송정,서울특별시 강서구 공항대로 지하33(공항동)
마곡,서울특별시 강서구 공항대로 지하163(마곡동)
발산,서울특별시 강서구 공항대로 지하267(마곡동)
우장산,서울특별시 강서구 강서로 지하262(화곡동)
화곡,서울특별시 강서구 화곡로 지하168(화곡동)
