역명,도로명주소
운정,경기도 파주시 운정역길 368
운천,
원덕,경기도 양평군 양평읍 원덕흑천길 138
월롱,경기도 파주시 월롱면 통일로 980
응봉,서울특별시 성동구 고산자로 124  
이촌,서울특별시 용산구 이촌로71길 42
일산,경기도 고양시 일산서구 경의로 672  
임진강,경기도 파주시 문산읍 임진각로 115번길
중랑,서울특별시 중랑구 중랑역로3길 28  
지평,경기도 양평군 지평면 지평역길32
청량리,서울특별시 동대문구 왕산로 214 청량리역
탄현,경기도 고양시 일산서구 경의로 856
파주,경기도 파주시 파주읍 주라위길 38
팔당,경기도 남양주시 와부읍 팔당로 107
풍산,경기도 고양시 일산동구 경의로 486
한남,서울특별시 용산구 독서당로6길 12-13
행신,경기도 고양시 덕양구 소원로 102
홍대입구,서울특별시 마포구 양화로 지하188
화전,경기도 고양시 덕양구 화랑로 53
회기,서울특별시 동대문구 회기로 196
효창공원앞,서울특별시 용산구 원효로 71길 40
경기광주,경기도 광주시 광주역로 10(역동)
곤지암,경기도 광주시 곤지암천로 333
부발,경기도 이천시 부발읍 신아로 87
삼동,경기도 광주시 순암로 451
세종대왕릉,경기도 여주시 능서면 양화로 877
신둔도예촌,경기도 이천시 신둔면 남정로 55
여주,경기도 여주시 교동로 80(교동 403-1)
이매,경기도 성남시 분당구 성남대로 738
이천,경기도 이천시 이섭대천로 1063
초월,경기도 광주시 초월읍 경충대로 1066
판교,경기도 성남시 분당구 판교역로 160
개운포,울산광역시 남구 산업로 133
거제,부산광역시 연제구 법원남로9번길 17
거제해맞이,부산광역시 연제구 거제대로 123
교대,부산광역시 연제구 중앙대로 1196
기장,부산광역시 기장군 기장읍 차성로288번길 86
남창,울산광역시 울주군 온양읍 남창리 42-36
덕하,울산광역시 울주군 청량읍 덕하로 229
동래,부산광역시 동래구 낙민로 27
망양,울산광역시 울주군 온양읍 망양리 484-1
벡스코,부산광역시 해운대구 해운대로 351
부산원동,부산광역시 동래구 안락동52-2
부전,부산광역시 부산진구 부전로 181
서생,울산광역시 울주군 서생면 화산발리로 1
센텀,부산광역시 해운대구 해운대로 210
송정,부산광역시 해운대구 해운대로 1147
신해운대,부산광역시 해운대구 장산로 427
안락,부산광역시 동래구 안연로98번길 57
오시리아,부산광역시 기장군 기장읍 동부산관광5로 14
월내,부산광역시 기장군 장안읍 해맞이로 351-31
일광,부산광역시 기장군 일광읍 일광로 111-10
재송,부산광역시 해운대구 해운대로 100
좌천,부산광역시 기장군 장안읍 좌천리 239-4
태화강,울산광역시 남구 산업로 654
