사용월,호선명,지하철역,승차총승객수,하차총승객수,lat,lng
202001,1호선,가능,154864,147639,37.7483685951812,127.044220735748
202001,1호선,가산디지털단지,427860,495041,37.4815957375443,126.882559483336
202001,1호선,간석,149848,141816,37.4646879052409,126.693451172704
202001,1호선,개봉,536769,537243,37.4945222528654,126.859102583368
202001,1호선,관악,183861,168676,37.4188017578979,126.909121118476
202001,1호선,광명,74887,57522,37.4163635638303,126.884877197434
202001,1호선,광운대,200941,188492,37.6230335564713,127.06176348127
202001,1호선,구로,441605,448732,37.5024345090279,126.881491595821
202001,1호선,구일,159451,159724,37.4963911827294,126.869920428658
202001,1호선,군포,173294,169118,37.354076121748,126.948484962089
202001,1호선,금정,624026,640714,37.3722878708479,126.943387264162
202001,1호선,금천구청,284830,274854,37.455609978438,126.894514076077
202001,1호선,남영,235607,247650,37.5405646005342,126.971332437837
202001,1호선,노량진,255648,242153,37.5135735646312,126.940826454376
202001,1호선,녹양,113761,106497,37.7593972381027,127.042273911226
202001,1호선,녹천,112544,93749,37.6456959058103,127.050919992127
202001,1호선,당정,153840,144564,37.3444543328447,126.948347418727
202001,1호선,대방,331921,336653,37.5128688879851,126.925248506022
202001,1호선,덕계,55512,48420,37.8187729615258,127.056653419502
202001,1호선,덕정,135179,130175,37.844283985167,127.061969695022
202001,1호선,도봉,143026,134267,37.6803629061562,127.045764016316
202001,1호선,도봉산,172712,104764,37.6891205614059,127.046528790935
202001,1호선,도원,81519,83681,37.468791983109,126.642404388038
202001,1호선,도화,95125,85312,37.4661106428252,126.668375888234
202001,1호선,독산,393039,407097,37.4659873169402,126.889514168718
202001,1호선,동대문,299826,319224,37.5717775660734,127.011167102297
202001,1호선,동두천,48629,57461,37.9278370541411,127.054940223638
202001,1호선,동두천중앙,82100,79212,37.9018057802045,127.056238895955
202001,1호선,동묘앞,201491,210572,37.5733722075697,127.01675118037
202001,1호선,동암,398497,398528,37.4710056673671,126.702935214739
202001,1호선,동인천,370305,352889,37.4759574845683,126.631750522383
202001,1호선,두정,110161,112141,36.8329346310528,127.149020699344
202001,1호선,망월사,177289,178333,37.725963479768,127.046509519875
202001,1호선,명학,213336,205005,37.3852171904558,126.935265701361
202001,1호선,방학,230723,222511,37.6663490420969,127.044424667701
202001,1호선,배방,21917,21282,36.7775631745193,127.052904723378
202001,1호선,백운,188186,182724,37.4832252226726,126.70727338322
202001,1호선,병점,341585,340551,37.2068017946815,127.033243427141
202001,1호선,보산,38656,35816,37.9143185033452,127.057237110508
202001,1호선,봉명,28476,27926,36.8012573235829,127.135835679685
202001,1호선,부개,212974,198610,37.4883181353962,126.740251327956
202001,1호선,부천,871881,883491,37.4840369248427,126.782649695027
202001,1호선,부평,818195,889324,37.4904472744166,126.723486369222
202001,1호선,서동탄,40319,32823,37.1959264123992,127.052133990784
202001,1호선,서빙고,43422,40799,37.5199555398566,126.990048630943
202001,1호선,서울,1466328,1255627,37.549118478341,126.970484281315
202001,1호선,서울,1466328,1255627,37.549118478341,126.970484281315
202001,1호선,서정리,120316,121956,37.0570033704623,127.053006355073
202001,1호선,석계,218007,245277,37.6150480846952,127.066118430844
202001,1호선,석수,252010,216933,37.4343424740399,126.902529209911
202001,1호선,성균관대,338701,334819,37.3001863040678,126.972261050259
202001,1호선,성환,76729,77057,36.9167500567322,127.126732155397
202001,1호선,세류,81894,75996,37.2442506519983,127.014111849323
202001,1호선,세마,62520,55100,37.1869917898194,127.043062518202
202001,1호선,소사,239335,227769,37.4824529147477,126.796018552602
202001,1호선,소요산,69233,57178,37.947953996357,127.061213156402
202001,1호선,송내,708819,696462,37.4876747409104,126.752771844443
202001,1호선,송탄,97898,93934,37.0752833781957,127.054299835138
202001,1호선,수원,923644,987058,37.2656768667795,127.000096053009
202001,1호선,시청,600933,608809,37.5654385176408,126.976983237511
202001,1호선,신길,223878,187235,37.5176677017212,126.914336937521
202001,1호선,신도림,91059,92688,37.5087701449787,126.891080501385
202001,1호선,신설동,359967,350250,37.5762451837487,127.023278761358
202001,1호선,신이문,212889,192237,37.604278644666,127.069577322142
202001,1호선,신창,26410,25917,36.7694848050308,126.949921514343
202001,1호선,쌍용,43390,40107,36.793655090373,127.121594290099
202001,1호선,아산,62129,55180,36.7920474174232,127.104115243093
202001,1호선,안양,552386,557731,37.4014349994721,126.92300270344
202001,1호선,양주,193899,177195,37.7736548042753,127.044790945301
202001,1호선,역곡,681675,670484,37.4852888314378,126.811871466794
202001,1호선,영등포,1083182,1125296,37.5156680341198,126.907665995469
202001,1호선,오류동,296180,275275,37.494359185399,126.844600701673
202001,1호선,오산,226802,225336,37.1458951784684,127.066844907861
202001,1호선,오산대,66064,57346,37.1693006160923,127.063064763281
202001,1호선,옥수,1131,700,37.5409877747326,127.018965435917
202001,1호선,온수,159614,157126,37.4921502838112,126.823380714316
202001,1호선,온양온천,101349,102916,36.7804682813951,127.003451110541
