지하철역,도로명주소,lat,lng
동백,경기도 용인시 기흥구 동백죽전대로 314,37.2691508524181,127.152759663169
초당,경기도 용인시 기흥구 동백죽전대로 204,37.2608809643059,127.159488220012
삼가,경기도 용인시 처인구 중부대로 1098,37.2421122356298,127.16808757744
시청·용인대,경기도 용인시 처인구 중부대로 1199-1,37.2394751320485,127.178803125036
명지대,경기도 용인시 처인구 금학로 241,37.2381227140781,127.190277450835
김량장,경기도 용인시 처인구 금학로 315,37.237303163536,127.198702334334
운동장·송담대,경기도 용인시 처인구 금학로 409,37.2378765110411,127.209006681179
고진,경기도 용인시 처인구 경안천로 141,37.2446424855067,127.214181020912
보평,경기도 용인시 처인구 경안천로 313,37.2589480188129,127.218447354658
둔전,경기도 용인시 처인구 포곡읍 포곡로 70,37.267257320529,127.213710214899
전대·에버랜드,경기도 용인시 처인구 포곡읍 에버랜드로 143,37.2855460988656,127.219645690222
서울,서울특별시 용산구 청파로 378,37.549118478341,126.970484281315
공덕,서울특별시 마포구 마포대로 92,37.5428436189268,126.95133595616
홍대입구,서울특별시 마포구 양화로 188,37.5577458058734,126.926498328277
디지털미디어시티,서울특별시 마포구 성암로 184,37.5768239035855,126.899020186183
마곡나루,서울특별시 강서구 마곡중앙로 지하 135,37.565821296795,126.827634421592
김포공항,서울특별시 강서구 하늘길 77,37.562313207852,126.801278424065
청라국제도시,인천광역시 서구 에코로 151 (청라동),37.5551403000306,126.625410973856
영종,인천광역시 중구 백운로414번길 75,37.51210021776,126.524248890138
운서,인천광역시 중구 흰바위로59번길 26,37.4928503236659,126.493665547285
공항화물청사,인천광역시 중구 공항동로135번길 86,37.4590307212448,126.477437882407
인천공항1터미널,인천광역시 중구 공항로 271,37.4476109663729,126.452346738588
인천공항2터미널,인천광역시 중구 공항로 272,37.458350712273,126.427699293474
북한산우이,서울특별시 강북구 삼양로 지하 676,37.6629661525542,127.012702176264
솔밭공원,서울특별시 강북구 삼양로 595,37.6561546882896,127.013091650663
4.19민주묘지,서울특별시 강북구 삼양로 519,37.6494786329719,127.013478245674
가오리,서울특별시 강북구 삼양로 426,37.641713417798,127.016940435565
화계,서울특별시 강북구 삼양로 341,37.6339304770753,127.0172978051
삼양,서울특별시 강북구 삼양로 지하 259,37.626835165677,127.018198221331
삼양사거리,서울특별시 강북구 삼양로 197,37.6214280999689,127.020237295242
솔샘,서울특별시 강북구 솔샘로 지하 189,37.6202522935181,127.013408969328
북한산보국문,서울특별시 성북구 보국문로 지하 88,37.6121461272569,127.008208009279
정릉,서울특별시 성북구 아리랑로 지하 122,37.6026876819314,127.013496185509
성신여대입구,서울특별시 성북구 동소문로 지하 102 (동선동4가 1번지),37.5927179261346,127.016477649743
보문,서울특별시 성북구 보문동1가 127-6,37.5847632748488,127.019790458317
신설동,서울특별시 동대문구 신설동 132-259,37.5762451837487,127.023278761358
신사,서울특별시 강남구 강남대로 620-2,37.5171124958274,127.019494541135
논현,서울특별시 강남구 강남대로 492-2,37.5060527417451,127.023986887753
신논현,서울특별시 강남구 봉은사로 지하 102 (논현동 282번지),37.5046341625192,127.025031333453
강남,서울특별시 강남구 강남대로 지하 396,37.4981646510326,127.028307900881
양재,서울시 서초구 남부순환로 지하 2585,37.4839347328908,127.034544193436
양재시민의숲,서울특별시 서초구 매헌로 지하 116,37.4699787301083,127.038325774107
청계산입구,서울특별시 서초구 청계산로 지하 179,37.4483676641102,127.054631961335
판교,경기도 성남시 분당구 판교역로 지하 160,37.3947948422615,127.110989722725
정자,경기도 성남시 분당구 성남대로 지하 333 ,37.3661836450479,127.10806292752
미금,경기도 성남시 성남대로 지하 163 (금곡동),37.3497814901408,127.108786347263
동천,경기도 용인시 수지구 신수로 지하760,37.33789484374,127.102835754929
수지구청,경기도 용인시 수지구 풍덕천로 지하120 ,37.3224981630209,127.094668157552
성복,경기도 용인시 수지구 수지로 지하134,37.313398056231,127.080325656805
