사용월,호선명,지하철역,승차총승객수,하차총승객수
202201,1호선,가능,126191,122907
202201,1호선,가산디지털단지,370308,427269
202201,1호선,간석,114563,109293
202201,1호선,개봉,421899,424527
202201,1호선,관악,141319,132669
202201,1호선,광명,65728,58036
202201,1호선,광운대,148577,143916
202201,1호선,구로,367914,372370
202201,1호선,구일,119655,120171
202201,1호선,군포,154913,154532
202201,1호선,금정,530249,540991
202201,1호선,금천구청,233026,234221
202201,1호선,남영,176835,184484
202201,1호선,노량진,163490,165589
202201,1호선,녹양,87252,82584
202201,1호선,녹천,90175,76752
202201,1호선,당정,120490,115112
202201,1호선,대방,256898,264995
202201,1호선,덕계,58471,52431
202201,1호선,덕정,100836,97833
202201,1호선,도봉,119664,115799
202201,1호선,도봉산,139798,86837
202201,1호선,도원,51757,52822
202201,1호선,도화,82301,77143
202201,1호선,독산,378232,395589
202201,1호선,동대문,210889,195984
202201,1호선,동두천,38825,43280
202201,1호선,동두천중앙,58862,57138
202201,1호선,동묘앞,142990,149013
202201,1호선,동암,286714,290794
202201,1호선,동인천,267672,253997
202201,1호선,두정,92242,92357
202201,1호선,망월사,141197,146199
202201,1호선,명학,177084,174989
202201,1호선,방학,188544,185504
202201,1호선,배방,18340,17726
202201,1호선,백운,132804,132075
202201,1호선,병점,273003,269571
202201,1호선,보산,26124,23872
202201,1호선,봉명,22737,22099
202201,1호선,부개,167085,156681
202201,1호선,부천,635911,637859
202201,1호선,부평,580743,612229
202201,1호선,서동탄,27707,24086
202201,1호선,서빙고,39072,36969
202201,1호선,서울,966153,856087
202201,1호선,서정리,129496,116942
202201,1호선,석계,157514,178293
202201,1호선,석수,190644,170671
202201,1호선,성균관대,269114,267859
202201,1호선,성환,56801,57236
202201,1호선,세류,57935,53819
202201,1호선,세마,53809,50186
202201,1호선,소사,163951,161132
202201,1호선,소요산,43352,37714
202201,1호선,송내,522883,522852
202201,1호선,송탄,79693,75836
202201,1호선,수원,640499,686146
202201,1호선,시청,432427,433757
202201,1호선,신길,176269,149122
202201,1호선,신도림,82402,78808
202201,1호선,신설동,273176,264134
202201,1호선,신이문,166519,156137
202201,1호선,신창,18226,17993
202201,1호선,쌍용,34383,31994
202201,1호선,아산,51543,47925
202201,1호선,안양,413014,415625
202201,1호선,양주,144708,136765
202201,1호선,역곡,528536,527268
202201,1호선,영등포,734962,750796
202201,1호선,오류동,233561,221914
202201,1호선,오산,186829,185683
202201,1호선,오산대,63013,58046
202201,1호선,옥수,951,677
202201,1호선,온수,125018,121083
202201,1호선,온양온천,68048,69629
202201,1호선,왕십리,271004,308231
202201,1호선,외대앞,140049,140893
202201,1호선,용산,654479,667689
202201,1호선,월계,122872,116918
202201,1호선,응봉,36511,31286
202201,1호선,의왕,179502,179096
202201,1호선,의정부,355685,364627
202201,1호선,이촌,72123,56772
202201,1호선,인천,63770,47747
202201,1호선,제기동,355473,364429
202201,1호선,제물포,198830,190673
202201,1호선,종각,698342,675559
202201,1호선,종로3가,498616,458273
202201,1호선,종로5가,441441,432890
202201,1호선,주안,360032,326409
202201,1호선,중동,184349,175041
202201,1호선,지행,122124,121114
202201,1호선,직산,14596,14002
202201,1호선,진위,31844,27640
202201,1호선,창동,8,0
202201,1호선,천안,89191,94036
202201,1호선,청량리,688086,702073
202201,1호선,탕정,8076,7397
202201,1호선,평택,213101,210340
202201,1호선,평택지제,65961,62917
202201,1호선,한남,82213,77221
202201,1호선,화서,153682,149371
202201,1호선,회룡,243903,241309
202202,1호선,가능,112092,109036
202202,1호선,가산디지털단지,313722,366339
202202,1호선,간석,100029,95427
202202,1호선,개봉,370626,371827
202202,1호선,관악,123766,116063
202202,1호선,광명,57878,49943
202202,1호선,광운대,128549,125843
202202,1호선,구로,323422,327711
202202,1호선,구일,103543,104475
202202,1호선,군포,136006,136591
202202,1호선,금정,454824,463311
202202,1호선,금천구청,205324,206230
202202,1호선,남영,152358,160770
202202,1호선,노량진,135175,138579
202202,1호선,녹양,77891,73535
202202,1호선,녹천,80863,68821
202202,1호선,당정,105138,100223
202202,1호선,대방,218555,228128
202202,1호선,덕계,51384,46588
202202,1호선,덕정,89804,88249
202202,1호선,도봉,105385,101440
202202,1호선,도봉산,125890,81488
202202,1호선,도원,42050,43457
202202,1호선,도화,70893,66080
202202,1호선,독산,323846,339181
202202,1호선,동대문,185675,173032
202202,1호선,동두천,34627,37841
202202,1호선,동두천중앙,52266,50397
202202,1호선,동묘앞,126693,133250
202202,1호선,동암,249907,252036
202202,1호선,동인천,234182,221894
202202,1호선,두정,83787,84927
202202,1호선,망월사,127431,131139
202202,1호선,명학,154683,152088
202202,1호선,방학,168350,165644
202202,1호선,배방,17119,16693
202202,1호선,백운,116896,115972
202202,1호선,병점,237502,237729
202202,1호선,보산,25184,23135
202202,1호선,봉명,20751,20205
202202,1호선,부개,146893,138154
202202,1호선,부천,559934,560740
202202,1호선,부평,508952,533192
202202,1호선,서동탄,23843,20758
202202,1호선,서빙고,34193,32525
202202,1호선,서울,844759,718843
202202,1호선,서정리,112445,105864
202202,1호선,석계,138608,156008
202202,1호선,석수,165421,148992
202202,1호선,성균관대,235667,236589
202202,1호선,성환,52437,52498
202202,1호선,세류,51292,46991
202202,1호선,세마,46768,43783
202202,1호선,소사,147431,142870
202202,1호선,소요산,41411,34894
202202,1호선,송내,454297,451569
202202,1호선,송탄,72125,70594
202202,1호선,수원,572515,602678
202202,1호선,시청,370473,375955
202202,1호선,신길,153151,130121
202202,1호선,신도림,72512,68812
202202,1호선,신설동,238122,233922
202202,1호선,신이문,145830,136637
202202,1호선,신창,20603,19310
202202,1호선,쌍용,30929,28621
202202,1호선,아산,49718,43970
202202,1호선,안양,364097,364523
202202,1호선,양주,129432,121415
202202,1호선,역곡,462467,461189
202202,1호선,영등포,646143,658200
202202,1호선,오류동,204443,194923
202202,1호선,오산,163944,164154
202202,1호선,오산대,55444,51522
202202,1호선,옥수,829,574
202202,1호선,온수,110609,107032
202202,1호선,온양온천,61633,61837
202202,1호선,왕십리,234956,266053
202202,1호선,외대앞,123838,126481
202202,1호선,용산,578105,568791
202202,1호선,월계,108761,104036
202202,1호선,응봉,31823,27107
202202,1호선,의왕,154348,154612
202202,1호선,의정부,319048,325437
202202,1호선,이촌,62007,48576
202202,1호선,인천,57506,44979
202202,1호선,제기동,278849,282964
202202,1호선,제물포,174432,166358
202202,1호선,종각,574394,558644
202202,1호선,종로3가,426728,393548
202202,1호선,종로5가,381701,376406
202202,1호선,주안,316461,286276
