사용월,호선명,지하철역,승차총승객수,하차총승객수,lat,lng
202201,1호선,가능,38578,36876,37.7483685951812,127.044220735748
202201,1호선,가산디지털단지,45781,61888,37.4815957375443,126.882559483336
202201,1호선,간석,31958,31088,37.4646879052409,126.693451172704
202201,1호선,개봉,118024,117490,37.4945222528654,126.859102583368
202201,1호선,관악,44068,41381,37.4188017578979,126.909121118476
202201,1호선,광명,21294,17636,37.4163635638303,126.884877197434
202201,1호선,광운대,41262,41415,37.6230335564713,127.06176348127
202201,1호선,구로,93691,95384,37.5024345090279,126.881491595821
202201,1호선,구일,32530,31967,37.4963911827294,126.869920428658
202201,1호선,군포,31036,29101,37.354076121748,126.948484962089
202201,1호선,금정,137618,140805,37.3722878708479,126.943387264162
202201,1호선,금천구청,62018,61693,37.455609978438,126.894514076077
202201,1호선,남영,43054,44444,37.5405646005342,126.971332437837
202201,1호선,노량진,62022,58629,37.5135735646312,126.940826454376
202201,1호선,녹양,26052,25520,37.7593972381027,127.042273911226
202201,1호선,녹천,25415,21749,37.6456959058103,127.050919992127
202201,1호선,당정,29592,28824,37.3444543328447,126.948347418727
202201,1호선,대방,57554,59025,37.5128688879851,126.925248506022
202201,1호선,덕계,17049,16161,37.8187729615258,127.056653419502
202201,1호선,덕정,32197,31515,37.844283985167,127.061969695022
202201,1호선,도봉,34570,32863,37.6803629061562,127.045764016316
202201,1호선,도봉산,70073,48077,37.6891205614059,127.046528790935
202201,1호선,도원,15192,15737,37.468791983109,126.642404388038
202201,1호선,도화,23890,22682,37.4661106428252,126.668375888234
202201,1호선,독산,65964,65623,37.4659873169402,126.889514168718
202201,1호선,동대문,85174,83054,37.5717775660734,127.011167102297
202201,1호선,동두천,11959,14449,37.9278370541411,127.054940223638
202201,1호선,동두천중앙,20047,19663,37.9018057802045,127.056238895955
202201,1호선,동묘앞,100008,102089,37.5733722075697,127.01675118037
202201,1호선,동암,93659,95741,37.4710056673671,126.702935214739
202201,1호선,동인천,90587,88455,37.4759574845683,126.631750522383
202201,1호선,두정,38466,39766,36.8329346310528,127.149020699344
202201,1호선,망월사,43176,44729,37.725963479768,127.046509519875
202201,1호선,명학,34648,33904,37.3852171904558,126.935265701361
202201,1호선,방학,57319,55652,37.6663490420969,127.044424667701
202201,1호선,배방,7123,7472,36.7775631745193,127.052904723378
202201,1호선,백운,38483,38630,37.4832252226726,126.70727338322
202201,1호선,병점,90389,93524,37.2068017946815,127.033243427141
202201,1호선,보산,9663,9839,37.9143185033452,127.057237110508
202201,1호선,봉명,5246,4939,36.8012573235829,127.135835679685
