관광지명,도로명주소,lat,lng,분류,Unnamed: 0
해닮,경기도 안성시 금광면 배티로 781,36.9817904683,127.3054436268,문화,
한택식물원,경기도 용인시 처인구 백암면 한택로 2,37.0944757666,127.406859663,문화,
쁘띠프랑스,경기도 가평군 청평면 호반로 1063,37.7148334865,127.490276446,문화,
세계민속악기박물관,경기도 파주시 탄현면 헤이리마을길63-26,37.789510599,126.6993722197,문화,
피노지움,경기도 파주시 회동길 152,37.7089071496,126.6875679756,문화,
한림토이뮤지엄,경기도 파주시 탄현면 헤이리마을길 25,37.7879879149,126.6967992601,문화,
농경유물전시관,경기도 파주시 월롱면 통일로 600 파주농업기술센터,37.7639689876,126.7955492072,문화,
아시아출판문화정보센터,경기도 파주시 회동길 145,37.7084960372,126.6867669819,문화,
명성황후기념관,경기도 여주시 명성로 71,37.2596759342,127.6554257107,문화,
가나아트파크,경기도 양주시 장흥면 권율로 117,37.7256376098,126.949966756,문화,
조병화문학관,경기도 안성시 양성면 난실길 14-1,37.1120788965,127.2216288288,문화,
유리섬,경기도 안산시 단원구 부흥로 254,37.2197885275,126.6023925616,문화,
새마을운동중앙연수원새마을역사관,경기도 성남시 분당구 새마을로 257,37.3884295446,127.1560951135,문화,
펄벅기념관,경기도 부천시 소사구 성주로214번길 61,37.475558946,126.7817081154,문화,
덕포진전시관,경기도 김포시 대곶면 덕포진로103번길 130,37.6497625176,126.5366528586,문화,
만해기념관,경기도 광주시 중부면 남한산성로792번길 24-7,37.477302215,127.1808417406,문화,
고양화장실전시관,경기도 고양시 일산동구 호수로 595,37.6549538763,126.7687601052,문화,
수원화성홍보관,경기도 수원시 팔달구 행궁로 11,37.2807973662,127.0151841956,문화,
이천아트홀,경기도 이천시 부악로 40,37.2715590199,127.4341970877,문화,
성 라자로 마을,경기도 의왕시 원골로 66,37.3628922505,126.9722974176,문화,
여주종합운동장,경기도 여주시 영릉로 123,37.2930389329,127.6228994282,문화,
지미당,경기도 여주시 하거1길 6,37.2314714166,127.6406562309,문화,
수원월드컵경기장,경기도 수원시 팔달구 월드컵로 310,37.2888141599,127.0409114208,문화,
하남문화예술회관,경기도 하남시 신평로 125 (덕풍동),37.5444419441,127.2076561931,문화,
평택남부문예회관,경기도 평택시 중앙로 277,36.9911212708,127.1140767512,문화,
파주문화원,경기도 파주시 와석순환로 415 운정행복센터,37.7240923851,126.7512642743,문화,
파주시민회관,경기도 파주시 시민회관길 33,37.7592016315,126.7807224813,문화,
의정부청소년회관,경기도 의정부시 의정로 27,37.7357256965,127.0341709031,문화,
의왕문화원,경기도 의왕시 백운로 23,37.3521649674,126.9822974283,문화,
여주문화원,경기도 여주시 신륵사길 6-6,37.3001347541,127.6523382709,문화,
양평문화원,경기도 양평군 양평읍 마유산로 5,37.4974724067,127.4860283446,문화,
양주상여회닫이보존회,경기도 양주시 백석읍 중앙로 226-24,37.7968703884,126.9883645511,문화,
안성문화원,경기도 안성시 보개면 종합운동장로 203,37.0150005358,127.32334487,문화,
안산문화원,경기도 안산시 상록구 석호로 144,37.2993271589,126.8476224322,문화,
시흥문화원,경기도 시흥시 연성로13번길 3,37.39044629,126.804764366,문화,
부천문화원,경기도 부천시 경인로92번길 33 (송내동),37.4825054606,126.7665645738,문화,
남양주문화원,경기도 남양주시 경춘로 883-36,37.6329852495,127.1983788147,문화,
군포시문화예술회관,경기도 군포시 고산로 599,37.365784472,126.9274658783,문화,
김중업 건축박물관 (옛 유유산업 공장),경기도 안양시 만안구 예술공원로103번길 4 (석수동),37.4183798984,126.9183187069,문화,
광주문화원,경기도 광주시 문화로85번길 19-12,37.4100087825,127.2494127634,문화,
광명문화원,경기도 광명시 철망산로 42,37.467182223,126.8729899967,문화,
광명문화의집,경기도 광명시 너부대로 32번길 15-3,37.4766830268,126.8497368723,문화,
광명시민회관,경기도 광명시 시청로 20,37.4778909462,126.864666872,문화,
과천문화원,경기도 과천시 문원로 40-1 (문원동),37.4283426979,127.001790174,문화,
안보교육관,경기도 과천시 관문로 69,37.4297846084,126.9869739553,문화,
고양문화원,경기도 고양시 일산서구 한류월드로 280 (대화동),37.6650157318,126.7562800382,문화,
가평문화예술회관,경기도 가평군 가평읍 문화로 131,37.8242546008,127.5066699979,문화,
안양문화예술재단,경기도 안양시 만안구 문예로36번길 16,37.3846057882,126.9313328724,문화,
수원청소년문화센터,경기도 수원시 팔달구 권광로 293 수원청소년종합복지관,37.2742363442,127.0356985864,문화,
수원문화원,경기도 수원시 팔달구 팔달산로 28,37.2735973684,127.0113164151,문화,
평택문화원,경기도 평택시 중앙로 277 평택문화예술회관,36.9911212708,127.1140767512,문화,
양주문화예술회관,경기도 양주시 광적면 부흥로618번길 303,37.8133019622,126.9721753492,문화,
태평무전수관,경기도 안성시 태평무길 42,37.0358067491,127.2665582902,문화,
미누현대미술관,경기도 성남시 수정구 공원로 360,37.4455840304,127.1493783854,문화,
탄탄스토리하우스갤러리,경기도 파주시 회동길 130,37.7080352094,126.6879064925,문화,
시립월전미술관,경기도 이천시 경충대로 2709번길 185,37.2801703348,127.4240484236,문화,
이천세계도자센터(이천세라피아),경기도 이천시 경충대로2697번길 167-29,37.2740690436,127.425926965,문화,
죽포미술관,경기도 여주시 산북면 고촌길 26-10,37.4100350802,127.4426415155,문화,
마나스아트센터,경기도 양평군 강상면 강남로 743,37.4937080695,127.4609265239,문화,
닥터박갤러리,경기도 양평군 강하면 강남로 469,37.5060908905,127.4358247198,문화,
정문규미술관,경기도 안산시 단원구 대부황금로 153-9,37.2053248382,126.6442704429,문화,
소전미술관,경기도 시흥시 소래산길 41,37.4519575621,126.7855178796,문화,
모란미술관,경기도 남양주시 화도읍 경춘로 2110번길 8,37.6504097786,127.3237778566,문화,
영은미술관,경기도 광주시 청석로 300,37.413554542,127.2687473164,문화,
일본군 위안부 역사관,경기도 광주시 퇴촌면 가새골길 85,37.4428513339,127.3220161151,문화,
20세기소년소녀관,경기도 파주시 탄현면 헤이리마을길 59-118,37.7922982375,126.6957872005,문화,
파주장단콩전시관,경기도 파주시 문산읍 임진각로 148-73,37.8914474615,126.74026949,문화,
평택항홍보관,경기도 평택시 포승읍 평택항로 98,36.9700340047,126.847556308,문화,
최용신기념관,경기도 안산시 상록구 샘골서길 64번지,37.2996169619,126.8627620008,문화,
어린이비전센터,경기도 남양주시 진접읍 해밀예당1로 96,37.7170970349,127.1910487704,문화,
빨강장화,경기도 의왕시 내손순환로 129 상가1호,37.385850352,126.9845736639,문화,
성남고령친화종합체험관,경기도 성남시 분당구 야탑로205번길 26,37.4106906719,127.1429531885,문화,
나인블럭아트스페이스,경기도 김포시 운양동 1078-2,37.6568171122,126.6690218496,문화,
경기도문화의전당,경기도 수원시 팔달구 효원로 307번길 20,37.2610851716,127.0380461159,문화,
UV하우스(오래된정원),경기도 파주시 탄현면 헤이리마을길 29,37.7874767658,126.6971795703,문화,
의정부예술의전당,경기도 의정부시 의정로 1,37.7334540146,127.0340829964,문화,
연천수레울아트홀,경기도 연천군 연천읍 문화로 150,38.1071229181,127.0797747877,문화,
안산문화예술의전당,경기도 안산시 단원구 화랑로 312,37.3184603572,126.8230002961,문화,
성남시민회관,경기도 성남시 수정구 수정로171번길 10,37.4448498671,127.1390489311,문화,
부천시민회관,경기도 부천시 부일로 365,37.4883671498,126.7699459591,문화,
두물워크샵,경기도 남양주시 화도읍 북한강로1112번길 19,37.6137248216,127.3427753691,문화,
고양어울림누리,경기도 고양시 덕양구 어울림로 33 (성사동),37.6498536838,126.8360437272,문화,
여성회관,경기도 용인시 수지구 문정로7번길 15 여성회관,37.3205436396,127.0954126088,문화,
수원시민회관,경기도 수원시 팔달구 팔달산로 28,37.2735973684,127.0113164151,문화,
화성 종합경기타운,경기도 화성시 향남읍 향남로 470,37.1374720666,126.9240117072,문화,
교하청소년문화의집,경기도 파주시 책향기로 396,37.7239585686,126.7154424869,문화,
경기영어마을파주캠프(레일바이크),경기도 파주시 탄현면 얼음실로 40,37.7852855891,126.7010077217,문화,
조명박물관,경기도 양주시 광적면 광적로 235-48,37.836102126,126.9675239549,문화,
이경순소리박물관,경기도 안성시 삼죽면 동아예대길 47 동아방송예술대학교 디마종합촬영소내,37.0623757353,127.3532789167,문화,
안성맞춤박물관,경기도 안성시 대덕면 서동대로 4726-15,37.0113686054,127.2283474984,문화,
안성포도박물관,경기도 안성시 서운면 방아동길 68,36.9374794635,127.2676334008,문화,
부천수석박물관,경기도 부천시 원미구 소사로 482,37.5031636955,126.7960837045,문화,
유럽자기박물관,경기도 부천시 원미구 소사로 482,37.5031636955,126.7960837045,문화,
우석헌자연사박물관,경기도 남양주시 진접읍 금강로 1095,37.6980229313,127.1608295461,문화,
