관광지명,도로명주소,lat,lng,분류,Unnamed: 0
현절사,경기도 광주시 남한산성로 732-42,37.4779319373,127.1905431414,명소,
통진향교,경기도 김포시 월곶면 군하로 288-21,37.7169565963,126.5501928022,명소,
월산대군사당,경기도 고양시 덕양구 호국로 1243-39,37.6760173625,126.8728415537,명소,
수원향교,경기도 수원시 팔달구 향교로 107-9,37.2728525821,127.0121333387,명소,
미군참전기념비,경기도 가평군 북면 이곡리 산 123,37.8798124825,127.5259037622,명소,
이희승박사생가,경기도 의왕시 포일동 87-13 (양지편 마을 생가),37.392023072,126.992518467,명소,
연주암 3층 석탑,경기도 과천시 자하동길 64 (중앙동),37.4411230244,126.9644458331,명소,
연주대,경기도 과천시 자하동길 62,37.4444871068,126.9648853599,명소,
북한산성,경기도 고양시 덕양구 대서문길 375,37.6452507062,126.9742396303,명소,
이성산성,경기도 하남시 춘궁동 산36번지,37.5254855423,127.1849023429,명소,
반월성지,경기도 포천시 군내면 청군로3290번길 19,37.8937118938,127.2168804659,명소,
설성산성,경기도 이천시 장호원읍 선읍리 931,37.1451488749,127.5564039401,명소,
금암리 지석묘군,경기도 오산시 수목원로 449,37.1723572372,127.0489838313,명소,
수안산성,경기도 김포시 대곶면 율생중앙로52번길 100-2,37.6564609285,126.585552606,명소,
함왕성지,경기도 양평군 옥천면 용천리 산 27,37.548240671,127.5247552288,명소,
홍유릉,경기도 남양주시 홍유릉로 352-1,37.6305205677,127.2111839643,명소,
광릉,경기도 남양주시 진접읍 광릉수목원로 354,37.7491354092,127.1761930287,명소,
융릉·건릉,경기도 화성시 안녕동 187-39,37.2116580734,126.9910080093,명소,
파주삼릉,경기도 파주시 조리읍 삼릉로 89,37.7432817274,126.8355278132,명소,
서오릉,경기도 고양시 덕양구 서오릉로 334-92,37.6258080614,126.8985856044,명소,
심온선생묘,경기도 수원시 영통구 이의동 산13-10,37.2962369189,127.0528332373,명소,
정몽주선생묘,경기도 용인시 처인구 모현읍 능곡로 45 영일정씨제각,37.3378643867,127.179434527,명소,
광개토태왕비ㆍ동상,경기도 구리시 장자대로 34 (교문동),37.5870424583,127.1342065626,명소,
죽주산성,경기도 안성시 죽산면 죽양대로 111-71,37.0894706123,127.4298089667,명소,
망이산성,경기도 안성시 일죽면 금산리 산48,37.0561881879,127.4886845185,명소,
서운산성,경기도 안성시 서운면 청룡길 175-252,36.927963923,127.2839658768,명소,
삼막사남녀근석,경기도 안양시 만안구 삼막로 584,37.4356974785,126.9393225376,명소,
이항복선생묘,경기도 포천시 가산면 금현리 산4-2,37.830587423,127.185410649,명소,
충목단,경기도 포천시 소흘읍 소흘로116번길 13,37.8108912099,127.1440340179,명소,
신사임당묘,경기도 파주시 법원읍 자운서원로 204,37.8661350846,126.8709890093,명소,
이이선생묘,경기도 파주시 법원읍 자운서원로 204,37.8661350846,126.8709890093,명소,
정문부장군묘,경기도 의정부시 산단로132번길 59-17,37.7438189767,127.0820983726,명소,
경순왕릉,경기도 연천군 장남면 장남로 288,37.9907101345,126.8427999385,명소,
다산정약용묘,경기도 남양주시 조안면 다산로747번길 11,37.5162760421,127.2990516016,명소,
취몽헌 오태주 묘역,경기도 안산시 상록구 대촌길 12-3,37.2981935123,126.9226304399,명소,
권율장군묘,경기도 양주시 장흥면 권율로 223,37.7340081937,126.9474648319,명소,
영창대군묘,경기도 안성시 일죽면 고은리 산24-5,37.1354266161,127.4399646853,명소,
광명 영회원,경기도 광명시 노온사동 산 141-20,37.4396046834,126.8618729574,명소,
효원의종,경기도 수원시 팔달구 정조로 825 (남창동),37.2818848306,127.0143988553,명소,
창룡문,경기도 수원시 팔달구 경수대로 697,37.2873662737,127.0257579157,명소,
방화수류정,경기도 수원시 팔달구 수원천로 392번길 44-6,37.2875336366,127.0180967306,명소,
수원화성,경기도 수원시 팔달구 행궁로 11,37.2807973662,127.0151841956,명소,
연무대(동장대),경기도 수원시 팔달구 행궁로 11,37.2807973662,127.0151841956,명소,
화성 공룡알화석지,경기도 화성시 송산면 공룡로 659,37.2622243437,126.7470757939,명소,
연천전곡리유적,경기도 연천군 전곡읍 양연로 1510,38.015648742,127.0614548913,명소,
흔암리 선사유적,경기도 여주시 점동면 흔암리 산 2-1,37.2407799388,127.6834366955,명소,
동음사,경기도 포천시 이동면 화동로 1760,38.0055758026,127.3669677164,명소,
파산서원,경기도 파주시 파평면 파산서원길 24-40,37.9321854942,126.8599804906,명소,
이천향교,경기도 이천시 향교로 1,37.2858748747,127.4371741823,명소,
송산사지,경기도 의정부시 민락로 296,37.7475736748,127.109909909,명소,
궐리사,경기도 오산시 매홀로 3,37.1591578762,127.0626897656,명소,
연천향교,경기도 연천군 연천읍 지혜로117번길 20,38.0963042686,127.068876807,명소,
잿머리성황당,경기도 안산시 성곡동 산76,37.3092415867,126.7515498313,명소,
노산사지,경기도 양평군 서종면 노문리 산 69-7,37.6399104738,127.4277868542,명소,
양주향교,경기도 양주시 부흥로 1423번길 50,37.7863649753,127.0326948141,명소,
양성향교,경기도 안성시 양성면 교동길 33-4,37.0680380299,127.1970308812,명소,
덕봉서원,경기도 안성시 양성면 덕봉서원로 529-8,37.0461747759,127.1921471788,명소,
죽산향교,경기도 안성시 죽산면 죽산향교길 54-45,37.0824896617,127.4235260158,명소,
이천설봉서원,경기도 이천시 경충대로 2709번길 276,37.2817184992,127.4206288069,명소,
한재당,경기도 김포시 하성면 가금리 224,37.7401068226,126.5943192116,명소,
용인할미산성,경기도 용인시 처인구 포곡읍 마성리 산41,37.2870398564,127.1751020236,명소,
석남사,경기도 안성시 금광면 상촌새말길 3-120,36.9397947684,127.3071226595,명소,
이대원장군묘및신도비,경기도 평택시 포승읍 희곡리 산 83-6,36.9689622612,126.8748290451,명소,
정도전선생사당,경기도 평택시 진위면 은산길 80-15,37.0799762423,127.1227399024,명소,
향토박물관,경기도 화성시 향남읍 행정동로 96,37.1326325079,126.927943801,명소,
남양성모성지,경기도 화성시 남양성지로 112,37.2064279445,126.8168689179,명소,
이정구 선생묘,경기도 가평군 상면 태봉리 산115-1,37.8049857887,127.3297960302,명소,
이태조행궁지,경기도 동두천시 상봉암동 산1-1번지,37.9459362613,127.0693244005,명소,
행주서원지,경기도 고양시 덕양구 행주산성로 127-17,37.599604295,126.8186257304,명소,
과천향교,경기도 과천시 자하동길 18,37.4339233813,126.9873187204,명소,
교산동 건물지,경기도 하남시 교산동 78-3 일원,37.5194285442,127.2030655569,명소,
광주향교,경기도 하남시 대성로 126-13,37.5220740395,127.1984184636,명소,
화산서원,경기도 포천시 가산면 가산로 227-40,37.8416452755,127.17568671,명소,
포천향교,경기도 포천시 군내면 청군로3274번길 37,37.8897027254,127.2213425922,명소,
자운서원,경기도 파주시 법원읍 자운서원로 204,37.8661350846,126.8709890093,명소,
노강서원,경기도 의정부시 동일로122번길 153,37.7001525442,127.0629911779,명소,
보적사,경기도 오산시 독산성로269번길 144,37.1836182557,127.0197829412,명소,
충현서원지,경기도 광명시 소하 2동 1084,37.4339290123,126.8777210245,명소,
김포향교,경기도 김포시 북변중로25번길 38,37.6246481239,126.7095635949,명소,
여주향교,경기도 여주시 향교1길 28,37.2893466338,127.6281620527,명소,
지평향교,경기도 양평군 지평면 지평로 333,37.4809797127,127.6371525651,명소,
바우덕이사당,경기도 안성시 서운면 청룡길 128-29,36.9132573531,127.2918993894,명소,
심곡서원,경기도 용인시 수지구 심곡로 16-9,37.3057672458,127.0766245331,명소,
숭의전,경기도 연천군 미산면 숭의전로 382-27,38.023712603,126.9730165322,명소,
사릉,경기도 남양주시 진건읍 사릉로 180,37.644025621,127.1979601158,명소,
장릉,경기도 김포시 장릉로 79,37.6107523181,126.7126564851,명소,
용주사,경기도 화성시 용주로 136,37.2117829498,127.0056181833,명소,
세종대왕릉[유네스코세계문화유산],경기도 여주시 능서면 영릉로 269-50,37.3042346832,127.6036444223,명소,
동구릉,경기도 구리시 동구릉로 197,37.6204336201,127.1330118428,명소,
서삼릉,경기도 고양시 덕양구 서삼릉길 233-126,37.6646430279,126.8686115058,명소,
안탄대 선생 묘,경기도 안산시 성곡동 615-1,37.3070383087,126.7612454272,명소,
강희맹선생묘,경기도 시흥시 하상로 59,37.3956922057,126.8109182797,명소,
수원행궁동벽화골목,경기도 수원시 팔달구 화서문로 82-6,37.285814967,127.0166185676,명소,
용인 고안리 분청사기도요지,경기도 용인시 처인구 고안로51번길 112-37,37.137974998,127.4141136837,명소,
정태진 기념관,경기도 파주시 쇠재로 33,37.7499917315,126.770697713,명소,
안흥지 애련정,경기도 이천시 안흥동 404,37.2773359554,127.4505707303,명소,
도립리 육괴정,경기도 이천시 백사면 도립리 735,37.3420049643,127.4580360558,명소,
망월사지,경기도 광주시 중부면 남한산성로 680,37.4783161693,127.1961966446,명소,
용문사 은행나무,경기도 양평군 용문면 신점리 626-1,37.5498480839,127.571062054,명소,
양주관아지,경기도 양주시 부흥로 1399번길 15,37.7856760794,127.0294511072,명소,
박두진시비,경기도 안성시 보개면 종합운동장로 203,37.0150005358,127.32334487,명소,
서흥김씨삼강정여문,경기도 안성시 고삼면 월향리 산96,37.0840679446,127.2695639302,명소,
관곡지,경기도 시흥시 하중동 208,37.4022477666,126.8044899942,명소,
조종암,경기도 가평군 하면 대보간선로 399,37.8009143636,127.3730720396,명소,
온온사,경기도 과천시 관악산길 58,37.436082822,126.992695875,명소,
사세충렬문,경기도 안산시 단원구 와동 151,37.3373346533,126.830547156,명소,
국립여성사전시관,"경기도 고양시 덕양구 화중로 104번길 50 (정부고양지방합동청사 1, 2층)",37.6358176949,126.8340378818,명소,
영월루,경기도 여주시 주내로 13,37.2944168185,127.6476557365,명소,
방짜유기 전수교육관,경기도 군포시 송부로 12,37.3144646439,126.9155203122,명소,
구봉도낙조전망대,경기도 안산시 단원구 구봉타운길 43,37.2810670817,126.5519194344,자연,
노래하는분수대,경기도 고양시 일산동구 호수로 595,37.6549538763,126.7687601052,자연,
두물머리,경기도 양평군 양서면 양수리 697,37.5336211096,127.3174769426,자연,
잣향기푸른숲,경기도 가평군 상면 축령로 289-146,37.7692096554,127.3327955382,자연,
청평호,경기도 가평군 설악면 회곡리 454-3,37.7071366602,127.454424749,자연,
용설호수,경기도 안성시 죽산면 용설호수길 234,37.0504814265,127.4423733938,자연,
청룡호수,경기도 안성시 서운면 청용리 산1-17,36.905756135,127.2811275095,자연,
뒷방울저수지,경기도 시흥시 정왕동 35,37.3718045756,126.7447809695,자연,
청룡저수지,경기도 시흥시 방산동 634-4,37.4118506147,126.7600281196,자연,
과림저수지,경기도 시흥시 과림저수지길 79,37.4531039786,126.827272086,자연,
강천보,경기도 여주시 신단1길 83,37.2800580554,127.679776056,자연,
마장호수,경기도 파주시 광탄면 기산로 365,37.7746780964,126.9328094742,자연,
한탄강,경기도 포천시 영북면 자일리 산 115-2,38.1162504886,127.2663176478,자연,
공룡알화석산지,경기도 화성시 공룡로 659,37.2622243437,126.7470757939,자연,
수락산,경기도 남양주시 별내면 청학리 551-2,37.7002465445,127.1029045433,자연,
함왕봉,경기도 양평군 옥천면 용천리 산 27,37.548240671,127.5247552288,자연,
설봉산,경기도 이천시 관고동 산67-3,37.2744369868,127.4176309338,자연,
태화산,경기도 광주시 도척면 추곡리 169-2,37.2788537216,127.2929473032,자연,
삼성산산림욕장,경기도 안양시 만안구 예술공원로131번길 49,37.4195444836,126.9223668372,자연,
초록산산림욕장,경기도 화성시 양감면 사창리 810-1,37.0922602323,126.9547633524,자연,
문수산,경기도 김포시 월곶면 문수산로 102-38,37.7378268361,126.5308936298,자연,
가현산,경기도 김포시 양촌읍 구래리 산94번지,37.6298519948,126.642977823,자연,
감악산,경기도 파주시 적성면 감골길 48,37.9121645206,126.9521871318,자연,
월롱산,경기도 파주시 월롱면 용상골길 403,37.7982202531,126.766282364,자연,
학령산,경기도 파주시 앞골길 143-45,37.7602342513,126.787501445,자연,
보현산,경기도 파주시 탄현면 헤이리로 381-2,37.8091369787,126.7148601603,자연,
봉서산,경기도 파주시 파주읍 통일로 1586-24,37.849090047,126.7898866633,자연,
고대산,경기도 연천군 신서면 평화로 3282-108,38.2366324826,127.1570286256,자연,
심학산,경기도 파주시 교하로 493-2,37.7040616466,126.7242284555,자연,
초리골 등산로,경기도 파주시 법원읍 초리골길 236,37.855323763,126.8941453573,자연,
명학산,경기도 파주시 파주읍 용지안길 137,37.8369547633,126.8355634896,자연,
통방산,경기도 가평군 설악면 천안리 545,37.6409483422,127.4745193389,자연,
전곡항,경기도 화성시 서신면 전곡항로 5,37.1856153932,126.6510722718,자연,
상동호수공원,경기도 부천시 원미구 조마루로 15,37.502444206,126.7452470663,자연,
연꽃테마파크,경기도 시흥시 관곡지로 139,37.4006890149,126.808386896,자연,
한탄강관광지,경기도 연천군 전곡읍 선사로76,38.0088794383,127.0588638619,자연,
애룡저수지,경기도 파주시 법원읍 애룡길 194,37.8273370114,126.8581600262,자연,
용문산,경기도 양평군 용문면 용문산로 655,37.5461633356,127.5821639251,자연,
소래산산림욕장,경기도 시흥시 대야동 332-80,37.4496293144,126.7828813649,자연,
풍도,경기도 안산시 단원구 풍도길 8,37.112858763,126.3926108304,자연,
국화도,경기도 화성시 우정읍 입파길 54,37.1046131412,126.5385140379,자연,
평강랜드,경기도 포천시 영북면 우물목길 171-18,38.0499787372,127.3061838005,자연,
아침고요수목원,경기도 가평군 상면 수목원로 432,37.7439537969,127.3525341486,자연,
산들소리 수목원,경기도 남양주시 불암산로59번길 48-31,37.6510762965,127.101550237,자연,
물의정원,경기도 남양주시 조안면 북한강로 398,37.5575094633,127.3132181686,자연,
원도봉산,경기도 의정부시 망월로28번길 51-97,37.7054736427,127.0378430857,자연,
수덕산,경기도 가평군 북면 가화로 1434,37.8988468251,127.5106918385,자연,
고봉산,경기도 고양시 일산동구 성석로 103,37.6883799261,126.7947450312,자연,
수리산산림욕장,경기도 군포시 산본동 산18-3외 39필지,37.373448857,126.9261453612,자연,
양자산,경기도 여주시 산북면 하품리 651-3,37.4283951503,127.4142984727,자연,
부천중앙공원,경기도 부천시 원미구 소향로 162,37.5006048572,126.7637176203,자연,
비둘기낭폭포,경기도 포천시 영북면 대회산리 415-2,38.0797294619,127.2168241382,자연,
무주채폭포,경기도 가평군 북면 적목리 산1-1,37.9765783874,127.4178628308,자연,
용소폭포,경기도 가평군 북면 적목리 산4,37.9876525109,127.4545620761,자연,
한탄강대교천현무암협곡,경기도 포천시 관인면 냉정리 1101,38.1799062664,127.2861771065,자연,
선유담계곡,경기도 포천시 이동면 포화로 123,38.0706084504,127.399216901,자연,
운계폭포,경기도 파주시 적성면 감골길 48,37.9121645206,126.9521871318,자연,
동막계곡,경기도 연천군 연천읍 동막리 162-1,38.1062209726,127.116134046,자연,
직두리부부송,경기도 포천시 청군로2985번길 180,37.8552258159,127.2443325173,자연,
철쭉동산,경기도 군포시 산본동 1152-10,37.3554459872,126.9252042911,자연,
원도봉유원지,경기도 의정부시 호원동 230-85,37.7063050409,127.0361021872,자연,
유명산자연휴양림,경기도 가평군 설악면 유명산길 79-53,37.5929359062,127.4910626007,자연,
설매재자연휴양림,경기도 양평군 옥천면 용천로 510,37.5568546251,127.5093520669,자연,
청평자연휴양림,경기도 가평군 청평면 북한강로 2246번길 8-6,37.7115435193,127.407159225,자연,
산음자연휴양림,경기도 양평군 단월면 고북길 347,37.596139125,127.5752067975,자연,
칼봉산자연휴양림,경기도 가평군 가평읍 경반안로 454,37.8373817178,127.4648486494,자연,
축령산자연휴양림,경기도 남양주시 수동면 축령산로 299,37.7547771162,127.3132455526,자연,
용문산자연휴양림,경기도 양평군 양평읍 약수사길 78-14,37.5158504657,127.5195199236,자연,
백운산,경기도 의왕시 왕곡로 257,37.3476080481,127.0021434824,자연,
백미항,경기도 화성시 서신면 백미길 210-34,37.1437985584,126.6790365163,자연,
흔들바위,경기도 안성시 일죽면 종배길 115,37.0749675594,127.4493973888,자연,
서운산 자연휴양림,경기도 안성시 금광면 상중리 산 19번지,36.9423835,127.3137533554,자연,
노적봉 공원,경기도 안산시 상록구 성포동 산39-1,37.326201701,126.8530702718,자연,
아침고요가족동물원,경기도 가평군 상면 임초밤안골로 301,37.7484978512,127.3610725876,자연,
광명동굴,경기도 광명시 가학로 85번길 142,37.4246681011,126.8634441855,자연,
반월호수,경기도 군포시 청백리길 6,37.3617955681,126.9358413859,자연,
초막골생태공원,경기도 군포시 초막골길 216,37.3540980034,126.9191199737,자연,
산정호수,경기도 포천시 영북면 산정호수로411번길 89,38.0688767268,127.3221174859,자연,
평택호관광단지,경기도 평택시 현덕면 평택호길 159,36.9214457112,126.9222275949,자연,
칠리제저수지,경기도 시흥시 금이동 산120-1,37.4031874559,126.8485462754,자연,
마전달월저수지,경기도 시흥시 월곶동 산63-7,37.3723032305,126.7705866391,자연,
용담저수지(사암지),경기도 용인시 처인구 원삼면 원양로 382-2,37.1917887846,127.3064046986,자연,
신륵사관광지,경기도 여주시 신륵사길 73,37.297420524,127.659948866,자연,
덕계저수지,경기도 양주시 덕계동 산7,37.8306692163,127.0390946498,자연,
시민의강,경기도 부천시 부흥로 399,37.4903812461,126.7853556534,자연,
포천 화적연,경기도 포천시 영북면 자일리 산115-2,38.1162504886,127.2663176478,자연,
발랑저수지,경기도 파주시 광탄면 부흥로 596,37.806066086,126.9080435272,자연,
남양호(남양황라),경기도 화성시 우정읍 이화리 1604,37.0159853874,126.8062289998,자연,
고모리저수지,경기도 포천시 소흘읍 죽엽산로 452,37.7945844373,127.1648750759,자연,
여강길,경기도 여주시 강변유원지길 105,37.2936438147,127.6663831773,자연,
백운호수,경기도 의왕시 학의동 340-1번지,37.3826370286,127.000860845,자연,
백학저수지,경기도 연천군 백학면 저수지길 21,38.0322302116,126.9250520734,자연,
가나아트파크,경기도 양주시 장흥면 권율로 117,37.7256376098,126.949966756,자연,
안터생태공원,경기도 광명시 안재로 1번길 27,37.4593325679,126.8698216917,자연,
분당중앙공원,경기도 성남시 분당구 성남대로 550,37.3803005535,127.1211729072,자연,
중미산,경기도 양평군 옥천면 중미산로 1152,37.5832303936,127.4585126344,자연,
소래산,경기도 시흥시 대야동 332-80,37.4496293144,126.7828813649,자연,
유명산,경기도 가평군 설악면 유명산길 79-53,37.5929359062,127.4910626007,자연,
제부도,경기도 화성시 서신면 제부리 224,37.1718297664,126.6209082886,자연,
잣향기푸른숲,경기도 가평군 상면 축령로 289-146,37.7692096554,127.3327955382,자연,
한택식물원,경기도 용인시 처인구 백암면 한택로 2,37.0944757666,127.406859663,자연,
허브빌리지,경기도 연천군 왕징면 북삼리 222,38.0879151503,127.0052072303,자연,
현대유람선(아라뱃길),경기도 김포시 고촌읍 아라육로270번길 74,37.597498416,126.7871303925,자연,
장흥관광지,경기도 양주시 장흥면 권율로 193,37.7328178171,126.9492554212,자연,
백마산,경기도 광주시 초월읍 도곡길 132-27,37.3676012992,127.2875340889,자연,
소리산,경기도 양평군 단월면 석산리1,37.6392176032,127.6330451198,자연,
수원산,경기도 포천시 군내면 청군로2985번길 18,37.8659473403,127.2383835078,자연,
주금산,경기도 포천시 내촌면 능곡청정길 50,37.7836726677,127.2412517279,자연,
서봉산,경기도 화성시 향남읍 향봉로10번길 4,37.1348812938,126.942079115,자연,
관악산산림욕장,경기도 안양시 동안구 평촌대로476번길 30-2,37.4147357809,126.9556272599,자연,
병목안산림욕장석탑,경기도 안양시 만안구 안양9동 산 79-3,37.366387574,126.9035873881,자연,
도덕산,경기도 광명시 광명동 산75번지 일대,37.4681252126,126.8576482333,자연,
사패산,경기도 의정부시 망월로28번길 164-100,37.7088720744,127.0333747143,자연,
고령산,경기도 파주시 광탄면 보광로 474번길 87,37.7539814619,126.9211842329,자연,
삼봉산,경기도 파주시 법원읍 초리골길 278,37.85680263,126.8960430168,자연,
파평산,경기도 파주시 파평면 청송로 610번길 11,37.9404036199,126.876467843,자연,
물맑음수목원,경기도 남양주시 수동면 지둔로307번길 47-4,37.70576957,127.2956028276,자연,
남양주오남호수공원,경기도 남양주시 오남읍 오남리 산50-2,37.6939075668,127.225336941,자연,
국립아세안자연휴양림,경기도 양주시 백석읍 기산로 472,37.7738304915,126.9421724247,자연,
나리농원,경기도 양주시 광사로 131-66,37.7858015059,127.081828006,자연,
진위천시민유원지불빛정원,경기도 평택시 진위면 진위서로 264-15,37.0981452395,127.086481459,자연,
마장호수출렁다리,경기도 파주시 광탄면 기산로 365,37.7746780964,126.9328094742,자연,
구리 돌다리길 곱창골목,경기도 구리시 안골로103번길 41,37.599187824,127.1414539477,자연,
남양주다산길,경기도 남양주시 고산로 184-1,37.5939325401,127.1855663465,자연,
산정호수둘레길,경기도 포천시 영북면 산정호수로411번길 5,38.0656131993,127.3156843772,자연,
바다향기수목원,경기도 안산시 단원구 대부황금로 399,37.2250181543,126.6465052551,자연,
여강길,경기도 여주시 단현동 119-1,37.2651649742,127.6796652857,자연,
배곧한울공원,경기도 시흥시 정왕동 2590,37.3546534692,126.702026896,자연,
평택호관광지 수변데크 사색의 길,경기도 평택시 현덕면 평택호길 159,36.9214457112,126.9222275949,자연,
파주 벽초지수목원,경기도 파주시 광탄면 부흥로 242,37.8013847295,126.8742192975,자연,
파주 벽초지수목원,경기도 파주시 광탄면 부흥로 242,37.8013847295,126.8742192975,자연,
파주 벽초지수목원,경기도 파주시 광탄면 부흥로 242,37.8013847295,126.8742192975,자연,
가평 아침고요수목원,경기도 가평군 상면 수목원로 432,37.7439537969,127.3525341486,자연,
가평 아침고요수목원,경기도 가평군 상면 수목원로 432,37.7439537969,127.3525341486,자연,
광주 화담숲,경기도 광주시 도척면 도척윗로 278-1,37.3407703838,127.2894273131,자연,
광주 화담숲,경기도 광주시 도척면 도척윗로 278-1,37.3407703838,127.2894273131,자연,
광주 화담숲,경기도 광주시 도척면 도척윗로 278-1,37.3407703838,127.2894273131,자연,
양평 더그림,경기도 양평군 옥천면 사나사길 175,37.5291471499,127.4970686978,자연,
양평 더그림,경기도 양평군 옥천면 사나사길 175,37.5291471499,127.4970686978,자연,
양평 더그림,경기도 양평군 옥천면 사나사길 175,37.5291471499,127.4970686978,자연,
안양예술공원,경기도 안양시 만안구 석수동 240-18,37.4190630619,126.9197712709,자연,
안양예술공원,경기도 안양시 만안구 석수동 240-18,37.4190630619,126.9197712709,자연,
백운산,경기도 포천시 이동면 포화로 236-73,38.0715638068,127.4103429199,자연,
왕방산,경기도 포천시 신북면 심곡리 784,37.9162683791,127.1642782426,자연,
국망봉,경기도 포천시 이동면 장암리 74,38.0381483524,127.3854495392,자연,
소요산,경기도 동두천시 평화로 2910번길 145,37.946522172,127.0693437436,자연,
운길산,경기도 남양주시 조안면 북한강로433번길 186,37.5711477923,127.3026412617,자연,
문수산산림욕장,경기도 김포시 월곶면 문수산로 102-38,37.7378268361,126.5308936298,자연,
석룡산,경기도 가평군 북면 가화로 2745-70,37.974698079,127.4476929453,자연,
궁평항,경기도 화성시 서신면 궁평항로 1069-11,37.1161556148,126.6833759188,자연,
광교호수공원,경기도 수원시 영통구 광교호수공원로 102,37.2751003212,127.0637796103,자연,
전류리포구,경기도 김포시 하성면 금포로 1928,37.6977372576,126.6627122319,자연,
인계예술공원,경기도 수원시 팔달구 동수원로 335,37.2591135204,127.0363552907,자연,
시흥갯골생태공원,경기도 시흥시 동서로 287,37.3897919258,126.7812507272,자연,
효원공원,경기도 수원시 팔달구 동수원로 399,37.2649125317,127.0394437821,자연,
월화원,경기도 수원시 팔달구 동수원로 399,37.2649125317,127.0394437821,자연,
탄도 바닷길,경기도 안산시 단원구 대부황금로 7,37.1925115254,126.6461276758,자연,
지평레포츠공원,경기도 양평군 지평면 지평리 582-2,37.4744422716,127.6393007564,자연,
옥구공원,경기도 시흥시 오이도로 58,37.3518070533,126.7009730989,자연,
호명호수,경기도 가평군 청평명 호명리 5,37.7487409167,127.4755321846,자연,
문원체육공원,경기도 과천시 문원로 56,37.4279269115,127.0036578453,자연,
관문체육공원,경기도 과천시 중앙로 294,37.4414254578,126.9963337862,자연,
중앙공원,경기도 과천시 별양동 2-6,37.4323407549,126.9965868188,자연,
김포국제조각공원,경기도 김포시 월곶면 용강로13번길 38,37.720803354,126.5522087631,자연,
시화나래조력공원,경기도 안산시 단원구 대부황금로 1927,37.3103501449,126.6060565281,자연,
출판단지 생태공원,경기도 파주시 회동길 145,37.7084960372,126.6867669819,자연,
인창중앙공원,경기도 구리시 인창동 309-43번지,37.6058098808,127.1363673092,자연,
비봉습지공원,경기도 화성시 비봉면 유포리 619,37.2580686549,126.847941039,자연,
고양생태공원,경기도 고양시 일산서구 대화로 315,37.6839564647,126.7441487558,자연,
책테마파크,경기도 성남시 분당구 문정로 145,37.3807921772,127.152097499,자연,
프로방스빌리지(전 광릉분재예술공원),경기도 포천시 소흘읍 죽엽산로631번길 48,37.7812554333,127.1685919518,자연,
임진강 폭포어장,경기도 파주시 파평면 청송로 550,37.937775431,126.8703675585,자연,
설봉공원,경기도 이천시 관고동 418-2,37.2753304932,127.427377458,자연,
병목안시민공원,경기도 안양시 만안구 안양9동 산81-1번지,37.383500886,126.9100260266,자연,
경안천습지생태공원,경기도 광주시 퇴촌면 정자동길 119,37.4455826918,127.3221453083,자연,
장흥자생수목원,경기도 양주시 장흥면 권율로 309번길 167-35,37.7439238642,126.9496385013,자연,
부천자연생태공원,경기도 부천시 원미구 길주로 660,37.5052569447,126.8163954234,자연,
퇴촌식물원,경기도 광주시 퇴촌면 정영로 315,37.4672935827,127.3260744945,자연,
신구대학식물원,경기도 성남시 수정구 적푸리로 9,37.4337250099,127.0810818255,자연,
석화촌,경기도 남양주시 진건읍 사릉로304번길 39-3,37.6510572517,127.1914472629,자연,
들꽃수목원,경기도 양평군 양평읍 수목원길 16,37.5017151969,127.4713536253,자연,
아를식물원,경기도 고양시 덕양구 오금동 55-3,37.6684102175,126.9192801142,자연,
고양꽃전시관,경기도 고양시 일산동구 호수로 595,37.6549538763,126.7687601052,자연,
곤지암 나드리 수목원,경기도 광주시 곤지암읍 도척로 157,37.3372771468,127.3378443812,자연,
세미원,경기도 양평군 양서면 양수로 93,37.5409409749,127.3239565831,자연,
해여림빌리지,경기도 여주시 산북면 해여림로 78,37.3917168391,127.438339948,자연,
물향기수목원,경기도 오산시 청학로 211,37.1662479454,127.0543477507,자연,
나인포레스트 이화원,경기도 가평군 가평읍 자라섬로 64,37.8183315091,127.5195652178,자연,
자연테마식물원,경기도 평택시 오성면 숙성리 96,37.0142720462,126.9808248973,자연,
하남 나무고아원,경기도 하남시 대청로 10,37.5390440242,127.2155328955,자연,
맹산생태학습원,경기도 성남시 분당구 판교로 628,37.4052435343,127.1420186089,자연,
동막골유원지,경기도 연천군 연천읍 동막리 635,38.0923195714,127.1071267855,자연,
풍혈산유원지,경기도 포천시 영중면 성동리 37-1,38.022178593,127.2817650552,자연,
일영유원지,경기도 양주시 장흥면 일영리 산 17-1,37.7177640274,126.9484185168,자연,
용인자연휴양림,경기도 용인시 처인구 모현면 초부로220,37.3162082714,127.2704678858,자연,
천보산 자연휴양림,경기도 포천시 원동교길 303,37.8533355553,127.1214252649,자연,
운악산 자연휴양림,경기도 포천시 화현면 화동로 184,37.884387381,127.3027748686,자연,
중미산자연휴양림,경기도 양평군 옥천면 중미산로 11,37.6041299886,127.3532977598,자연,
오봉산,경기도 의왕시 고천동 산24-1,37.3454817072,126.9635855498,자연,
우음도,경기도 화성시 송산면 고정리 산1-38,37.2873956142,126.7399160127,자연,
서후리숲,경기도 양평군 서종면 거북바위1길 200,37.5663166144,127.4301566288,자연,
수청근린공원(현충탑),경기도 오산시 수청동 산 32-1,37.1627771229,127.0683606563,자연,
가학산,경기도 광명시 가학동 산13,37.427996141,126.8664591057,자연,
