사용월,호선명,지하철역,승차총승객수,하차총승객수
202101,1호선,가능,31769,30354
202101,1호선,가산디지털단지,36125,49894
202101,1호선,간석,26005,24727
202101,1호선,개봉,98194,98465
202101,1호선,관악,35999,33853
202101,1호선,광명,14803,11627
202101,1호선,광운대,34912,34907
202101,1호선,구로,78692,79979
202101,1호선,구일,25443,24782
202101,1호선,군포,28022,26866
202101,1호선,금정,108951,111752
202101,1호선,금천구청,49583,49447
202101,1호선,남영,32781,35470
202101,1호선,노량진,48256,46787
202101,1호선,녹양,20833,20110
202101,1호선,녹천,21601,18786
202101,1호선,당정,23917,23508
202101,1호선,대방,45806,47306
202101,1호선,덕계,12227,11348
202101,1호선,덕정,24733,24452
202101,1호선,도봉,28355,26970
202101,1호선,도봉산,60817,40638
202101,1호선,도원,12888,13148
202101,1호선,도화,19042,17761
202101,1호선,독산,50639,51687
202101,1호선,동대문,68231,67172
202101,1호선,동두천,9068,10761
202101,1호선,동두천중앙,15678,15627
202101,1호선,동묘앞,84741,87190
202101,1호선,동암,79012,79231
202101,1호선,동인천,71005,68954
202101,1호선,두정,28675,30294
202101,1호선,망월사,33582,34740
202101,1호선,명학,29866,28925
202101,1호선,방학,46308,45384
202101,1호선,배방,5305,5558
202101,1호선,백운,33023,32619
202101,1호선,병점,67750,71003
202101,1호선,보산,9430,9106
202101,1호선,봉명,4572,4457
202101,1호선,부개,38042,36385
202101,1호선,부천,182165,182986
202101,1호선,부평,179462,190021
202101,1호선,서동탄,5881,5723
202101,1호선,서빙고,7463,7168
202101,1호선,서울,192014,156893
202101,1호선,서정리,34229,38168
202101,1호선,석계,40320,43203
202101,1호선,석수,41530,40337
202101,1호선,성균관대,58699,60345
202101,1호선,성환,17383,18208
202101,1호선,세류,14867,15238
202101,1호선,세마,12010,10912
202101,1호선,소사,46738,44168
202101,1호선,소요산,22134,19269
202101,1호선,송내,107357,105879
202101,1호선,송탄,26628,26591
202101,1호선,수원,223972,230843
202101,1호선,시청,50268,48833
202101,1호선,신길,38942,33231
202101,1호선,신도림,15528,15884
202101,1호선,신설동,59499,58590
202101,1호선,신이문,39113,36318
202101,1호선,신창,5866,5911
202101,1호선,쌍용,8944,8126
202101,1호선,아산,17644,14818
202101,1호선,안양,105814,104655
202101,1호선,양주,35350,34233
202101,1호선,역곡,120489,119578
202101,1호선,영등포,239908,241633
202101,1호선,오류동,55487,52577
202101,1호선,오산,55813,56928
202101,1호선,오산대,15023,13918
202101,1호선,옥수,313,162
202101,1호선,온수,28123,27075
202101,1호선,온양온천,24535,24458
202101,1호선,왕십리,68004,78563
202101,1호선,외대앞,40394,39378
202101,1호선,용산,180084,172354
202101,1호선,월계,29820,28118
202101,1호선,응봉,8242,7220
202101,1호선,의왕,34735,34717
202101,1호선,의정부,104996,107269
202101,1호선,이촌,16841,13077
202101,1호선,인천,21618,17777
202101,1호선,제기동,95164,99887
202101,1호선,제물포,44597,43419
202101,1호선,종각,91522,84900
202101,1호선,종로3가,110100,101870
202101,1호선,종로5가,84397,85093
202101,1호선,주안,94244,84631
202101,1호선,중동,39743,37450
202101,1호선,지제,15810,14742
202101,1호선,지행,31135,30311
