사용월,호선명,지하철역,승차총승객수,하차총승객수,lat,lng
202001,1호선,가능,40313,37549,37.7483685951812,127.044220735748
202001,1호선,가산디지털단지,47994,66628,37.4815957375443,126.882559483336
202001,1호선,간석,34874,33085,37.4646879052409,126.693451172704
202001,1호선,개봉,137012,132656,37.4945222528654,126.859102583368
202001,1호선,관악,48636,44782,37.4188017578979,126.909121118476
202001,1호선,광명,21628,14830,37.4163635638303,126.884877197434
202001,1호선,광운대,46427,46076,37.6230335564713,127.06176348127
202001,1호선,구로,103560,107015,37.5024345090279,126.881491595821
202001,1호선,구일,67159,75325,37.4963911827294,126.869920428658
202001,1호선,군포,33760,30176,37.354076121748,126.948484962089
202001,1호선,금정,145076,149623,37.3722878708479,126.943387264162
202001,1호선,금천구청,65258,63488,37.455609978438,126.894514076077
202001,1호선,남영,47905,49209,37.5405646005342,126.971332437837
202001,1호선,노량진,78030,68952,37.5135735646312,126.940826454376
202001,1호선,녹양,28376,26447,37.7593972381027,127.042273911226
202001,1호선,녹천,26551,22001,37.6456959058103,127.050919992127
202001,1호선,당정,31666,30421,37.3444543328447,126.948347418727
202001,1호선,대방,69654,71124,37.5128688879851,126.925248506022
202001,1호선,덕계,13887,12323,37.8187729615258,127.056653419502
202001,1호선,덕정,37671,35851,37.844283985167,127.061969695022
202001,1호선,도봉,33588,31506,37.6803629061562,127.045764016316
202001,1호선,도봉산,63359,41995,37.6891205614059,127.046528790935
202001,1호선,도원,18782,18835,37.468791983109,126.642404388038
202001,1호선,도화,23014,20746,37.4661106428252,126.668375888234
202001,1호선,독산,64327,64867,37.4659873169402,126.889514168718
202001,1호선,동대문,107654,121247,37.5717775660734,127.011167102297
202001,1호선,동두천,12929,16616,37.9278370541411,127.054940223638
202001,1호선,동두천중앙,23365,22548,37.9018057802045,127.056238895955
202001,1호선,동묘앞,96607,101504,37.5733722075697,127.01675118037
202001,1호선,동암,106645,106870,37.4710056673671,126.702935214739
202001,1호선,동인천,102535,99079,37.4759574845683,126.631750522383
202001,1호선,두정,37449,39428,36.8329346310528,127.149020699344
202001,1호선,망월사,45241,45998,37.725963479768,127.046509519875
202001,1호선,명학,38454,36365,37.3852171904558,126.935265701361
202001,1호선,방학,57450,55531,37.6663490420969,127.044424667701
202001,1호선,배방,7434,7058,36.7775631745193,127.052904723378
