사용월,호선명,지하철역,승차총승객수,하차총승객수,lat,lng
202101,1호선,가능,31769,30354,37.7483685951812,127.044220735748
202101,1호선,가산디지털단지,36125,49894,37.4815957375443,126.882559483336
202101,1호선,간석,26005,24727,37.4646879052409,126.693451172704
202101,1호선,개봉,98194,98465,37.4945222528654,126.859102583368
202101,1호선,관악,35999,33853,37.4188017578979,126.909121118476
202101,1호선,광명,14803,11627,37.4163635638303,126.884877197434
202101,1호선,광운대,34912,34907,37.6230335564713,127.06176348127
202101,1호선,구로,78692,79979,37.5024345090279,126.881491595821
202101,1호선,구일,25443,24782,37.4963911827294,126.869920428658
202101,1호선,군포,28022,26866,37.354076121748,126.948484962089
202101,1호선,금정,108951,111752,37.3722878708479,126.943387264162
202101,1호선,금천구청,49583,49447,37.455609978438,126.894514076077
202101,1호선,남영,32781,35470,37.5405646005342,126.971332437837
202101,1호선,노량진,48256,46787,37.5135735646312,126.940826454376
202101,1호선,녹양,20833,20110,37.7593972381027,127.042273911226
202101,1호선,녹천,21601,18786,37.6456959058103,127.050919992127
202101,1호선,당정,23917,23508,37.3444543328447,126.948347418727
202101,1호선,대방,45806,47306,37.5128688879851,126.925248506022
202101,1호선,덕계,12227,11348,37.8187729615258,127.056653419502
202101,1호선,덕정,24733,24452,37.844283985167,127.061969695022
202101,1호선,도봉,28355,26970,37.6803629061562,127.045764016316
202101,1호선,도봉산,60817,40638,37.6891205614059,127.046528790935
202101,1호선,도원,12888,13148,37.468791983109,126.642404388038
202101,1호선,도화,19042,17761,37.4661106428252,126.668375888234
202101,1호선,독산,50639,51687,37.4659873169402,126.889514168718
202101,1호선,동대문,68231,67172,37.5717775660734,127.011167102297
202101,1호선,동두천,9068,10761,37.9278370541411,127.054940223638
202101,1호선,동두천중앙,15678,15627,37.9018057802045,127.056238895955
202101,1호선,동묘앞,84741,87190,37.5733722075697,127.01675118037
202101,1호선,동암,79012,79231,37.4710056673671,126.702935214739
202101,1호선,동인천,71005,68954,37.4759574845683,126.631750522383
202101,1호선,두정,28675,30294,36.8329346310528,127.149020699344
202101,1호선,망월사,33582,34740,37.725963479768,127.046509519875
202101,1호선,명학,29866,28925,37.3852171904558,126.935265701361
202101,1호선,방학,46308,45384,37.6663490420969,127.044424667701
202101,1호선,배방,5305,5558,36.7775631745193,127.052904723378
202101,1호선,백운,33023,32619,37.4832252226726,126.70727338322
202101,1호선,병점,67750,71003,37.2068017946815,127.033243427141
202101,1호선,보산,9430,9106,37.9143185033452,127.057237110508
202101,1호선,봉명,4572,4457,36.8012573235829,127.135835679685
202101,1호선,부개,38042,36385,37.4883181353962,126.740251327956
202101,1호선,부천,182165,182986,37.4840369248427,126.782649695027
202101,1호선,부평,179462,190021,37.4904472744166,126.723486369222
202101,1호선,서동탄,5881,5723,37.1959264123992,127.052133990784
202101,1호선,서빙고,7463,7168,37.5199555398566,126.990048630943
202101,1호선,서울,192014,156893,37.549118478341,126.970484281315
202101,1호선,서울,192014,156893,37.549118478341,126.970484281315
202101,1호선,서정리,34229,38168,37.0570033704623,127.053006355073
202101,1호선,석계,40320,43203,37.6150480846952,127.066118430844
202101,1호선,석수,41530,40337,37.4343424740399,126.902529209911
202101,1호선,성균관대,58699,60345,37.3001863040678,126.972261050259
202101,1호선,성환,17383,18208,36.9167500567322,127.126732155397
202101,1호선,세류,14867,15238,37.2442506519983,127.014111849323
202101,1호선,세마,12010,10912,37.1869917898194,127.043062518202
202101,1호선,소사,46738,44168,37.4824529147477,126.796018552602
202101,1호선,소요산,22134,19269,37.947953996357,127.061213156402
202101,1호선,송내,107357,105879,37.4876747409104,126.752771844443
202101,1호선,송탄,26628,26591,37.0752833781957,127.054299835138
202101,1호선,수원,223972,230843,37.2656768667795,127.000096053009
202101,1호선,시청,50268,48833,37.5654385176408,126.976983237511
202101,1호선,신길,38942,33231,37.5176677017212,126.914336937521
202101,1호선,신도림,15528,15884,37.5087701449787,126.891080501385
202101,1호선,신설동,59499,58590,37.5762451837487,127.023278761358
202101,1호선,신이문,39113,36318,37.604278644666,127.069577322142
202101,1호선,신창,5866,5911,36.7694848050308,126.949921514343
202101,1호선,쌍용,8944,8126,36.793655090373,127.121594290099
202101,1호선,아산,17644,14818,36.7920474174232,127.104115243093
202101,1호선,안양,105814,104655,37.4014349994721,126.92300270344
202101,1호선,양주,35350,34233,37.7736548042753,127.044790945301
202101,1호선,역곡,120489,119578,37.4852888314378,126.811871466794
202101,1호선,영등포,239908,241633,37.5156680341198,126.907665995469
202101,1호선,오류동,55487,52577,37.494359185399,126.844600701673
202101,1호선,오산,55813,56928,37.1458951784684,127.066844907861
202101,1호선,오산대,15023,13918,37.1693006160923,127.063064763281
202101,1호선,옥수,313,162,37.5409877747326,127.018965435917
202101,1호선,온수,28123,27075,37.4921502838112,126.823380714316
202101,1호선,온양온천,24535,24458,36.7804682813951,127.003451110541
202101,1호선,왕십리,68004,78563,37.5612217415191,127.036655378283
202101,1호선,외대앞,40394,39378,37.5954136758127,127.063058800869
202101,1호선,용산,180084,172354,37.5297718014452,126.964741503485
202101,1호선,월계,29820,28118,37.6321089404669,127.058729394991
202101,1호선,응봉,8242,7220,37.5504482266748,127.034927944532
202101,1호선,의왕,34735,34717,37.3211117738404,126.948383028902
202101,1호선,의정부,104996,107269,37.7379901517646,127.045879450143
202101,1호선,이촌,16841,13077,37.522520254623,126.973683151228
202101,1호선,인천,21618,17777,37.4765938446837,126.617089760956
202101,1호선,제기동,95164,99887,37.5781967284885,127.034690599752
202101,1호선,제물포,44597,43419,37.466803102521,126.656869633392
202101,1호선,종각,91522,84900,37.5702140381269,126.983239678933
202101,1호선,종로3가,110100,101870,37.5704266025836,126.99202930223
202101,1호선,종로5가,84397,85093,37.5709075371016,127.001916647342
202101,1호선,주안,94244,84631,37.464767076602,126.679517004054
202101,1호선,중동,39743,37450,37.4866184306426,126.764292213307
202101,1호선,지제,15810,14742,37.0187847572567,127.070485287852
202101,1호선,지행,31135,30311,37.8918774567748,127.055664161171
202101,1호선,직산,3876,3983,36.8713897700414,127.143691456107
202101,1호선,진위,6163,5664,37.1099375555493,127.062366903315
202101,1호선,창동,2,0,37.6532174818989,127.047714954434
202101,1호선,천안,36720,36573,36.8123208138282,127.146822493854
202101,1호선,청량리,205325,208270,37.5802331563072,127.045085886324
202101,1호선,평택,79250,79489,36.9918974768998,127.083288658126
202101,1호선,한남,17025,16310,37.5291881521046,127.008249820572
202101,1호선,화서,28725,28476,37.2848936747156,126.989199634131
202101,1호선,회룡,56285,56108,37.7244219058017,127.047218627472
202102,1호선,가능,30424,28539,37.7483685951812,127.044220735748
202102,1호선,가산디지털단지,35131,49104,37.4815957375443,126.882559483336
202102,1호선,간석,24971,23880,37.4646879052409,126.693451172704
202102,1호선,개봉,93367,92960,37.4945222528654,126.859102583368
202102,1호선,관악,36875,33972,37.4188017578979,126.909121118476
202102,1호선,광명,14778,11904,37.4163635638303,126.884877197434
202102,1호선,광운대,33296,33465,37.6230335564713,127.06176348127
202102,1호선,구로,75528,77827,37.5024345090279,126.881491595821
202102,1호선,구일,26018,25040,37.4963911827294,126.869920428658
202102,1호선,군포,25454,23920,37.354076121748,126.948484962089
202102,1호선,금정,106066,107559,37.3722878708479,126.943387264162
202102,1호선,금천구청,48430,48179,37.455609978438,126.894514076077
202102,1호선,남영,33001,34667,37.5405646005342,126.971332437837
